id,label,predict_result,predict_score,predict_detail,type
2,1,0,0.40440899658801815,"{'0': 0.5955910034119818, '1': 0.40440899658801815}",train
4,0,0,0.3168603259745707,"{'0': 0.6831396740254293, '1': 0.3168603259745707}",train
6,1,1,0.6472552515152085,"{'0': 0.35274474848479154, '1': 0.6472552515152085}",train
7,0,1,0.6186676230206133,"{'0': 0.3813323769793867, '1': 0.6186676230206133}",train
10,0,1,0.7085070303082474,"{'0': 0.29149296969175265, '1': 0.7085070303082474}",train
11,1,1,0.7515420296736197,"{'0': 0.24845797032638028, '1': 0.7515420296736197}",train
16,1,1,0.8176931951184352,"{'0': 0.1823068048815648, '1': 0.8176931951184352}",train
18,1,1,0.5588533381917701,"{'0': 0.4411466618082299, '1': 0.5588533381917701}",train
21,1,1,0.9357545116015599,"{'0': 0.06424548839844013, '1': 0.9357545116015599}",train
24,1,1,0.5080156841101945,"{'0': 0.4919843158898055, '1': 0.5080156841101945}",train
28,0,1,0.6130282607054367,"{'0': 0.3869717392945633, '1': 0.6130282607054367}",train
36,0,1,0.7103395200187133,"{'0': 0.28966047998128674, '1': 0.7103395200187133}",train
44,1,1,0.7723825252984263,"{'0': 0.22761747470157367, '1': 0.7723825252984263}",train
45,0,0,0.47050966912696246,"{'0': 0.5294903308730375, '1': 0.47050966912696246}",train
50,1,1,0.9216937247120084,"{'0': 0.07830627528799161, '1': 0.9216937247120084}",train
51,1,1,0.9220128543084878,"{'0': 0.07798714569151222, '1': 0.9220128543084878}",train
56,1,1,0.5773651261487304,"{'0': 0.42263487385126963, '1': 0.5773651261487304}",train
63,1,1,0.9580112078889524,"{'0': 0.04198879211104756, '1': 0.9580112078889524}",train
64,1,1,0.7315729854624701,"{'0': 0.26842701453752993, '1': 0.7315729854624701}",train
77,0,0,0.4284571615068301,"{'0': 0.5715428384931699, '1': 0.4284571615068301}",train
79,1,1,0.6778781483406568,"{'0': 0.32212185165934315, '1': 0.6778781483406568}",train
82,1,0,0.10944817144389392,"{'0': 0.890551828556106, '1': 0.10944817144389392}",train
83,1,0,0.47947990371147636,"{'0': 0.5205200962885237, '1': 0.47947990371147636}",train
87,1,1,0.5592560329844367,"{'0': 0.4407439670155633, '1': 0.5592560329844367}",train
